"Year";"Date";"Observer";"Site";"Zone";"Latitude";"Longitude";"Replicate";"Tax_ID";"Cover";"DatasetID";"Area";"Country";"Archipelago";"Location";"Method"
2014;2014-05-06;"LM";"Coco's Island";"Fringing reef";13,239981;144,665624;1;"Macroalgae";64;"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Point Intercept Transect"
2014;2014-05-06;"LM";"Coco's Island";"Fringing reef";13,239981;144,665624;1;"Rubble";2;"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Point Intercept Transect"
2014;2014-05-06;"LM";"Coco's Island";"Fringing reef";13,239981;144,665624;1;"Sand";34;"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Point Intercept Transect"
2014;2014-05-06;"LS";"Coco's Island";"Fringing reef";13,239981;144,665624;3;"Hard living coral";4;"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Point Intercept Transect"
2014;2014-05-06;"LS";"Coco's Island";"Fringing reef";13,239981;144,665624;3;"Macroalgae";46;"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Point Intercept Transect"
2014;2014-05-06;"LS";"Coco's Island";"Fringing reef";13,239981;144,665624;3;"Rock";2;"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Point Intercept Transect"
2014;2014-05-06;"LS";"Coco's Island";"Fringing reef";13,239981;144,665624;3;"Rubble";10;"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Point Intercept Transect"
2014;2014-05-06;"LS";"Coco's Island";"Fringing reef";13,239981;144,665624;3;"Sand";34;"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Point Intercept Transect"
2014;2014-05-06;"LS";"Coco's Island";"Fringing reef";13,239981;144,665624;3;"Turf algae";4;"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Point Intercept Transect"
2014;2014-05-06;"RS";"Coco's Island";"Fringing reef";13,239981;144,665624;2;"Macroalgae";82;"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Point Intercept Transect"
2014;2014-05-06;"RS";"Coco's Island";"Fringing reef";13,239981;144,665624;2;"Porolithon";2;"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Point Intercept Transect"
2014;2014-05-06;"RS";"Coco's Island";"Fringing reef";13,239981;144,665624;2;"Rock";2;"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Point Intercept Transect"
2014;2014-05-06;"RS";"Coco's Island";"Fringing reef";13,239981;144,665624;2;"Rubble";4;"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Point Intercept Transect"
2014;2014-05-06;"RS";"Coco's Island";"Fringing reef";13,239981;144,665624;2;"Sand";10;"DATA1";"Pacific";"USA";"Mariana Islands";"Guam";"Point Intercept Transect"
