"Tax_ID";"Family";"Genus";"Species"
"Chaetodan striatus";"Chaetodontidae";"Chaetodon";"Chaetodon striatus"
"Decapterus cf punctatus";"Carangidae";"Decapterus";"Decapterus punctatus"
"Holacanthus tricolour";"Pomacanthidae";"Holacanthus";"Holacanthus tricolor"
"Holocentrus adsensionis";"Holocentridae";"Holocentrus";"Holocentrus adscensionis"
"Holocentrus ascencionis";"Holocentridae";"Holocentrus";"Holocentrus adscensionis"
"Hypoplectrus sp (black)";"Serranidae";"Hypoplectrus";NA
"Lactophyrs triqueter";"Ostraciidae";"Lactophrys";"Lactophrys triqueter"
"Pterois sp.";"Scorpaenidae";"Pterois";NA
"Sparsisoma rubiprime";"Scaridae";"Sparisoma";NA
